arousal,valence,dominance
0.10862836,0.10513021,-0.11783768
0.11666183,0.11983391,-0.11713787
0.10715814,0.12278126,-0.114706144
0.09091668,0.118048534,-0.119445026
0.08306849,0.11049773,-0.11673031
0.08293297,0.101787515,-0.10831513
0.09272024,0.09346848,-0.09423566
0.11148998,0.07874824,-0.09039546
0.13290864,0.0770634,-0.08254429
0.15043862,0.08312047,-0.08251358
0.16169275,0.09275344,-0.10666844
0.1586563,0.10314894,-0.12014331
0.14990938,0.11142849,-0.11947021
0.13409686,0.11987627,-0.10398128
0.1162782,0.12300659,-0.08815233
0.09721926,0.12324757,-0.073618956
0.07964147,0.12109634,-0.061809793
0.063680604,0.11797184,-0.051680587
0.049370144,0.11459858,-0.043610193
0.03615602,0.11102366,-0.036976997
0.02463287,0.10682506,-0.031836603
0.014642209,0.10203895,-0.028707042
0.0056533637,0.09618456,-0.026758507
-0.003974904,0.088336155,-0.025250299
-0.01232831,0.08169667,-0.030012332
-0.009634407,0.08339377,-0.039509702
0.0077257976,0.09956802,-0.059449375
0.022728235,0.11214237,-0.078574926
0.03265761,0.1240149,-0.1019337
0.04851392,0.12702614,-0.11690992
0.062960304,0.123353615,-0.1224889
0.075661354,0.12114271,-0.12735906
0.08826503,0.11826635,-0.13145715
0.100940906,0.11849076,-0.12501007
0.11643462,0.11798776,-0.11266295
0.14067294,0.12213914,-0.09956971
0.14491418,0.12637076,-0.09217262
0.13112202,0.12868151,-0.07218902
0.108962074,0.12546982,-0.051674746
0.08852539,0.11580047,-0.034365915
0.07076802,0.100070685,-0.017757647
0.055309378,0.07231117,-0.010920413
0.06673351,0.051107068,-0.0012932103
0.08164482,0.03395619,0.01926914
0.08020002,0.03173923,0.026462968
0.08643257,0.035705462,0.047336876
0.09980228,0.04597958,0.060736865
0.114776835,0.047880128,0.05576945
0.11364214,0.05106345,0.049182788
0.100310825,0.05116014,0.04786333
0.094812706,0.03507352,0.03956099
0.08911921,0.02432144,0.0210776
0.08663273,0.01957996,-0.009621158
0.0760254,0.026137803,-0.01658798
0.061183624,0.03114416,-0.016942807
0.046256945,0.030943915,-0.012218105
0.030101465,0.019437332,-0.009337529
0.017137293,-0.0026636356,-0.006741365
0.018262703,-0.012725341,-0.008232076
0.021866597,-0.019690998,-0.0140827745
0.02117884,-0.014900452,-0.022036076
0.014287035,-0.013792174,-0.01330792
0.00050597545,-0.02250172,-0.0013770517
-0.004609079,-0.04555461,0.016568549
-0.0046666823,-0.056898832,0.026735075
-0.0038066807,-0.05539158,0.017535878
0.009136297,-0.03936814,-0.00020735431
0.03201088,-0.014844449,-0.033982288
0.044734307,0.011614033,-0.05778245
0.049514227,0.033262562,-0.08029503
0.050186254,0.051425263,-0.10628276
0.051996946,0.06966811,-0.10810082
0.047676153,0.075657785,-0.121105745
0.042242475,0.08702985,-0.1293017
0.03684751,0.0903009,-0.12888348
0.041934427,0.09756832,-0.12433569
0.056945268,0.113449186,-0.11502368
0.07262228,0.12336796,-0.10399008
0.07671216,0.12890565,-0.087499455
0.0732557,0.12942065,-0.07901457
0.078901336,0.12168278,-0.08486744
0.08826692,0.11589151,-0.0885622
0.10572079,0.11263271,-0.095628776
0.12834515,0.10200599,-0.10357733
0.14390115,0.09577819,-0.10896208
0.15650566,0.09052499,-0.10518965
0.16930096,0.08745581,-0.09979723
0.17841175,0.08888779,-0.08930877
0.18938059,0.097571306,-0.077812396
0.19958304,0.110173635,-0.06919551
0.20647109,0.12230164,-0.0656543
0.19580045,0.12697747,-0.050710656
0.17240888,0.12535344,-0.03124227
0.14649664,0.11823745,-0.012100741
0.11924914,0.10683113,0.0062100254
0.11819161,0.095652156,0.027163373
0.12893116,0.08569744,0.036658205
0.120456524,0.07645307,0.03631132
0.11051372,0.07210851,0.03436137
0.101788685,0.06175983,0.028223611
0.08765696,0.06279206,0.024674753
0.071306854,0.066647656,0.022249866
0.055663448,0.07095371,0.019942718
0.0436628,0.069248706,0.010649217
0.037532322,0.06028063,-0.004581389
0.029873718,0.042199127,-0.021058481
0.028028967,0.035090216,-0.038875595
0.02423208,0.033749264,-0.061163917
0.0147611955,0.037645772,-0.09117677
0.017207095,0.04385282,-0.08932257
0.017940607,0.04953719,-0.07707887
0.01648163,0.054719098,-0.06110063
0.013723257,0.05814919,-0.0447707
0.015629642,0.0571384,-0.03383791
0.0319037,0.05379135,-0.04862475
0.03696576,0.053455673,-0.052364334
0.03275463,0.058977395,-0.048893094
0.03326622,0.07113617,-0.061093204
0.036611795,0.07972245,-0.079532735
0.03978867,0.08075111,-0.078649014
0.038727697,0.08063274,-0.06857816
0.03494109,0.08035615,-0.05698014
0.030837052,0.079241246,-0.04701943
0.024138985,0.077511676,-0.038139794
0.014277857,0.07455443,-0.030637568
0.021631904,0.0679302,-0.027705505
0.02585886,0.06429879,-0.02443641
0.028824855,0.06404536,-0.022415636
0.02626655,0.06683644,-0.01759612
0.017860783,0.07082465,-0.014224742
0.023194097,0.07007403,-0.02179821
0.04898118,0.068855554,-0.0278419
0.05449455,0.06982251,-0.028545626
0.046358943,0.07232862,-0.026401902
0.03420683,0.07455079,-0.027501758
0.031101266,0.077641204,-0.03579434
0.055786163,0.07781488,-0.045127086
0.078804106,0.07295147,-0.06406945
0.08204354,0.067821704,-0.0709688
0.07718926,0.06305183,-0.06807703
0.06920437,0.059536234,-0.062019486
0.056580845,0.058740184,-0.05272096
0.040609386,0.05754675,-0.04423988
0.048736356,0.04892832,-0.045480654
0.072677776,0.050807513,-0.05074487
0.07791424,0.057282954,-0.042577032
0.07165627,0.06228689,-0.032281686
0.060842086,0.06669124,-0.02417218
0.047716092,0.07019499,-0.017591938
0.0334191,0.073127516,-0.012214981
0.018483229,0.07708526,-0.007196063
0.022589667,0.09455864,-0.0013698358
0.031442963,0.10704507,0.00050102256
0.040381473,0.11029528,0.006649406
0.044489566,0.104639545,0.014911873
0.04272508,0.096117854,0.022199716
0.036053844,0.08476539,0.029606398
0.023558645,0.07383554,0.03814107
0.026627898,0.06340578,0.04720866
0.045293324,0.06700505,0.049527533
0.07263649,0.0759965,0.039442927
0.101498045,0.0941416,0.019506194
0.11192406,0.111439064,0.0070915027
0.11853789,0.12794738,-0.008247383
0.1261646,0.13750273,-0.02662403
0.13396491,0.1412674,-0.041498713
0.13623004,0.14032105,-0.042903777
0.1275738,0.13562952,-0.037318107
0.11190009,0.12996301,-0.026652655
0.09092722,0.12492129,-0.014516827
0.074109554,0.12006403,-0.0045554554
0.05695784,0.10363819,0.0061047827
0.042925898,0.09611867,0.010775993
0.059637025,0.10109802,0.007526163
0.07722541,0.09667194,0.0052757114
0.090475634,0.07056003,-0.0029126853
0.093312904,0.04468151,-0.018734701
0.091929264,0.02019821,-0.041679427
0.09093416,0.0045437887,-0.06283915
0.08688988,-0.0015928627,-0.07366342
0.07140886,0.0024017114,-0.07490846
0.05791275,0.013724402,-0.077637024
0.05934621,0.022863049,-0.09217269
0.06372835,0.03049677,-0.08709812
0.055805538,0.03318613,-0.067437544
0.04676248,0.02212561,-0.04512866
0.047789488,0.0004464537,-0.015302185
0.07097991,-0.0048557846,0.018098641
0.086184025,0.0008569828,0.047017742
0.086186334,0.0057287123,0.062060364
0.08668237,0.015255395,0.062534384
0.09816342,0.031769343,0.05552288
0.09884581,0.04738179,0.03790751
0.09830451,0.06412016,0.020203184
0.088133074,0.07786054,-0.0034463573
0.07879361,0.09494242,-0.015548592
0.07244536,0.110135615,-0.019521141
0.0646286,0.135872,-0.021414893
0.068256624,0.15864322,-0.019409658
0.0816403,0.17535114,-0.026807427
0.09638536,0.19036071,-0.0374537
0.114090905,0.2046729,-0.047702312
0.12982398,0.22014354,-0.059132364
0.15286782,0.23036285,-0.06764207
0.17542316,0.23365843,-0.07970047
0.2005553,0.23144731,-0.089432955
0.22556365,0.22936511,-0.09883049
0.2441701,0.22571723,-0.10719074
0.26091984,0.22591883,-0.11806238
0.27145725,0.23091355,-0.13121368
0.27810967,0.23497516,-0.14219202
0.27448797,0.23991512,-0.14927602
0.26585928,0.23707964,-0.15138091
0.27068433,0.22761475,-0.15210697
0.27152604,0.21803704,-0.16072227
0.27010614,0.21150705,-0.1666838
0.2632286,0.20418318,-0.1718231
